town,mar22,apr22,may22,jun22,jul22,aug22,sep22,oct22,nov22,dec22,jan23,feb23,may23,apr23,jul23,mar23,jun23,jan22,feb22
Etago,134.72,144.62,150.12,159.12,159.12,159.12,179.31,178.31,177.31,177.31,177.31,177.31,186.16,179.31,194.68,169.58,182.04,131.09,131.1
Nkubu,134.96,144.86,150.36,159.36,159.36,159.36,179.54,178.54,177.54,177.54,177.54,177.54,,179.54,194.94,169.81,182.28,131.25,131.09
Mbale,135.14,145.04,150.54,159.54,159.54,159.54,179.72,178.72,177.72,177.72,177.72,177.72,180.57,179.72,195.13,171.12,182.46,131.05,131.25
Sambalat,135.01,144.91,150.41,159.41,159.41,159.41,179.59,178.59,177.59,177.59,177.59,177.59,182.26,179.59,195.0,169.99,182.33,131.35,131.05
Nairobi,135.24,145.14,150.64,159.64,159.64,159.64,179.82,178.82,177.82,177.82,177.82,177.82,179.5,179.82,195.24,170.09,182.56,131.24,131.35
Keroka,135.45,145.35,150.85,159.85,159.85,159.85,180.05,179.05,178.05,178.05,178.05,178.05,,180.05,195.48,170.67,182.78,131.63,131.24
Kapedo,135.82,145.72,151.22,160.22,160.22,160.22,180.4,179.4,178.4,178.4,178.4,178.4,180.33,180.4,195.87,170.6,183.15,131.64,131.63
Turbo,135.74,145.64,151.14,160.14,160.14,160.14,180.33,179.33,178.33,178.33,178.33,178.33,180.9,180.33,195.78,170.91,183.07,132.61,131.64
Olenguruone,136.1,146.0,151.5,160.5,160.5,160.5,180.69,179.69,178.69,178.69,178.69,178.69,179.89,180.69,196.17,169.86,183.43,132.15,132.61
Kakamega,136.09,145.99,151.49,160.49,160.49,160.49,180.67,179.67,178.67,178.67,178.67,178.67,179.55,180.67,196.16,170.32,183.42,132.81,132.15
Tot,136.26,146.16,151.66,160.66,160.66,160.66,180.85,179.85,178.85,178.85,178.85,178.85,181.57,,196.34,170.96,183.59,132.67,132.81
Tenges,136.06,145.96,151.46,160.46,160.46,160.46,180.64,179.64,178.64,178.64,178.64,178.64,179.72,180.85,196.12,170.95,183.37,133.26,132.67
Lokitaung,136.35,146.25,151.75,160.75,160.75,160.75,180.93,179.93,178.93,178.93,178.93,178.93,185.27,,196.43,171.1,183.68,133.88,133.26
Barwessa,136.25,146.15,151.65,160.65,160.65,160.65,180.84,179.84,178.84,178.84,178.84,178.84,,180.64,196.33,171.49,183.57,137.57,133.88
Kaiboi,136.63,146.53,152.03,161.03,161.03,161.03,181.22,180.22,179.22,179.22,179.22,179.22,184.44,,196.75,171.5,183.96,136.65,137.57
Londiani,136.65,146.55,152.05,161.05,161.05,161.05,181.23,180.23,179.23,179.23,179.23,179.23,,180.93,196.76,,183.97,139.15,136.65
Kwale,137.61,147.51,153.01,162.01,162.01,162.01,182.21,181.21,180.21,180.21,180.21,180.21,182.33,,197.8,171.2,184.94,138.2,139.15
Sagana,137.15,147.05,152.55,161.55,161.55,161.55,181.74,180.74,179.74,179.74,179.74,179.74,,180.84,197.29,172.48,184.47,136.57,138.2
Sotik,137.81,147.71,153.21,162.21,162.21,162.21,182.4,181.4,180.4,180.4,180.4,180.4,179.92,,198.01,172.67,185.13,135.27,136.57
Lodosoit,137.67,147.57,153.07,162.07,162.07,162.07,182.26,181.26,180.26,180.26,180.26,180.26,179.52,181.22,197.85,172.53,184.99,138.82,135.27
Kobujoi,138.26,148.16,153.66,162.66,162.66,162.66,182.85,181.85,180.85,180.85,180.85,180.85,180.0,,198.49,173.12,185.59,140.42,138.82
Kapsowar,138.89,148.79,154.29,163.29,163.29,163.29,183.47,182.47,181.47,181.47,181.47,181.47,180.33,181.23,199.16,173.74,186.21,138.97,140.42
Thika,142.57,152.47,157.97,166.97,166.97,166.97,187.15,186.15,185.15,185.15,185.15,185.15,179.5,,203.12,177.42,189.9,136.72,138.97
Naiberi,141.65,151.55,157.05,166.05,166.05,166.05,186.24,185.24,184.24,184.24,184.24,184.24,187.56,182.21,202.13,176.5,188.98,142.75,136.72
Bungoma,144.15,154.05,159.55,168.55,168.55,168.55,188.74,187.74,186.74,186.74,186.74,186.74,180.64,,204.81,179.01,191.47,129.24,142.75
Iten,143.21,153.11,158.61,167.61,167.61,167.61,187.79,186.79,185.79,185.79,185.79,185.79,177.69,181.74,203.8,178.06,190.53,129.21,129.24
Magenche,141.58,151.48,156.98,165.98,165.98,165.98,186.16,185.16,184.16,184.16,184.16,184.16,180.05,,202.05,176.43,188.9,129.2,129.21
Migori,140.27,150.17,155.67,164.67,164.67,164.67,184.85,183.85,182.85,182.85,182.85,182.85,179.81,182.4,200.65,175.12,187.6,129.29,129.2
Kilifi,143.82,153.72,159.22,168.22,168.22,168.22,188.42,187.42,186.42,186.42,186.42,186.42,179.5,,204.46,178.69,191.15,129.99,129.29
Eldoret,145.43,155.33,160.83,169.83,169.83,169.83,190.02,189.02,188.02,188.02,188.02,188.02,181.49,182.26,206.19,180.28,192.76,129.5,129.99
Muhoroni,143.98,153.88,159.38,168.38,168.38,168.38,188.57,187.57,186.57,186.57,186.57,186.57,179.86,,204.64,178.84,191.3,129.49,129.5
