town,mar22,apr22,may22,jun22,jul22,aug22,sep22,oct22,nov22,dec22,jan23,feb23,may23,apr23,jul23,mar23,jun23,jan22,feb22
Lokichar,116.89,126.79,132.29,141.29,141.29,141.29,166.29,164.29,163.29,163.29,163.29,163.29,169.6,162.55,180.51,173.63,168.06,112.41,112.29
Homabay,117.53,127.43,132.93,141.93,141.93,141.93,166.93,164.93,163.93,163.93,163.93,163.93,161.83,,181.19,175.25,168.7,113.31,112.41
Tarbaj,119.13,129.03,134.53,143.53,143.53,143.53,168.53,166.53,165.53,165.53,165.53,165.53,163.55,164.13,182.92,174.04,170.31,113.18,113.31
Kaplamai,117.94,127.84,133.34,142.34,142.34,142.34,167.34,165.34,164.34,164.34,164.34,164.34,162.91,,181.63,174.17,169.11,112.15,113.18
Namanga,118.07,127.97,133.47,142.47,142.47,142.47,167.47,165.47,164.47,164.47,164.47,164.47,163.94,,181.77,,169.24,112.21,112.15
Marigat,,,,,,,,,,,,,163.4,162.72,,178.2,,111.38,112.21
Kipsaraman,122.09,131.99,137.49,146.49,146.49,146.49,171.49,169.49,168.49,168.49,168.49,168.49,164.91,162.72,186.09,175.61,173.25,111.79,111.38
Burgich,119.5,129.4,134.9,143.9,143.9,143.9,168.9,166.9,165.9,165.9,165.9,165.9,,162.72,183.31,177.37,170.67,111.87,111.79
Kachibora,121.26,131.16,136.66,145.66,145.66,145.66,170.66,168.66,167.66,167.66,167.66,167.66,162.08,162.72,185.21,175.98,172.43,111.32,111.87
Sondu,119.87,129.77,135.27,144.27,144.27,144.27,169.27,167.27,166.27,166.27,166.27,166.27,163.37,162.72,183.7,180.25,171.03,111.75,111.32
Webuye,124.15,134.05,139.55,148.55,148.55,148.55,173.55,171.55,170.55,170.55,170.55,170.55,,162.74,188.3,175.25,175.32,112.29,111.75
Kiminini,119.13,129.03,134.53,143.53,143.53,143.53,168.53,166.53,165.53,165.53,165.53,165.53,,163.15,182.92,172.85,170.31,111.93,112.29
Kajiado,117.48,127.38,132.88,141.88,141.88,141.88,166.88,164.88,163.88,163.88,163.88,163.88,162.56,163.08,181.15,173.6,168.65,112.61,111.93
Lungalunga,123.28,133.18,138.68,147.68,147.68,147.68,172.68,170.68,169.68,169.68,169.68,169.68,164.31,,187.36,179.39,174.44,112.27,112.61
Kiganjo,116.51,126.41,131.91,140.91,140.91,140.91,165.91,163.91,162.91,162.91,162.91,162.91,,163.48,180.1,172.63,167.68,112.47,112.27
Kabarnet ,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,163.29,162.74,179.89,172.43,167.49,111.51,112.47
Loruk,116.38,126.28,131.78,140.78,140.78,140.78,165.78,163.78,162.78,162.78,162.78,162.78,162.75,162.7,179.96,,167.55,111.3,111.51
Sololo,116.27,126.17,131.67,140.67,140.67,140.67,165.67,163.67,162.67,162.67,162.67,162.67,,162.67,179.84,172.38,167.43,111.4,111.3
Elwak,124.37,134.27,139.77,148.77,148.77,148.77,173.77,171.77,170.77,170.77,170.77,170.77,163.27,162.76,188.55,180.49,175.54,111.89,111.4
Makuyu,123.2,133.1,138.6,147.6,147.6,147.6,172.6,170.6,169.6,169.6,169.6,169.6,164.47,163.22,187.28,179.31,174.37,111.35,111.89
Kacheliba,119.62,129.52,135.02,144.02,144.02,144.02,169.02,167.02,166.02,166.02,166.02,166.02,,163.1,183.44,175.73,170.79,111.63,111.35
Mtito Andei,121.19,131.09,136.59,145.59,145.59,145.59,170.59,168.59,167.59,167.59,167.59,167.59,170.49,163.03,185.11,177.29,172.35,111.51,111.63
Mandera,118.39,128.29,133.79,142.79,142.79,142.79,167.79,165.79,164.79,164.79,164.79,164.79,162.72,,182.12,174.5,169.56,111.64,111.51
Lokori,117.72,127.62,133.12,142.12,142.12,142.12,167.12,165.12,164.12,164.12,164.12,164.12,162.76,162.95,181.4,173.83,168.89,111.81,111.64
Malaba,118.32,128.22,133.72,142.72,142.72,142.72,167.72,165.72,164.72,164.72,164.72,164.72,171.12,,182.05,174.43,169.5,111.88,111.81
Lokichogio,117.91,127.81,133.31,142.31,142.31,142.31,167.31,165.31,164.31,164.31,164.31,164.31,,162.91,181.61,174.02,169.08,112.18,111.88
Soy,116.7,126.6,132.1,141.1,141.1,141.1,166.1,164.1,163.1,163.1,163.1,163.1,162.64,,180.31,172.82,167.88,112.02,112.18
Oyugis,117.42,127.32,132.82,141.82,141.82,141.82,166.82,164.82,163.82,163.82,163.82,163.82,163.69,162.77,181.08,173.53,168.59,112.2,112.02
Marsabit,116.74,126.64,132.14,141.14,141.14,141.14,166.14,164.14,163.14,163.14,163.14,163.14,162.01,,180.34,,167.91,112.17,112.2
Kabartonjo,117.15,127.05,132.55,141.55,141.55,141.55,166.55,164.55,163.55,163.55,163.55,163.55,162.95,163.27,180.79,173.25,168.32,112.12,112.17
Ziwa,117.29,127.19,132.69,141.69,141.69,141.69,166.69,164.69,163.69,163.69,163.69,163.69,163.61,,180.94,173.4,168.46,112.97,112.12
Muranga,117.41,127.31,132.81,141.81,141.81,141.81,166.81,164.81,163.81,163.81,163.81,163.81,,163.61,181.06,173.51,168.58,113.26,112.97
Kisumu,118.31,128.21,133.71,142.71,142.71,142.71,167.71,165.71,164.71,164.71,164.71,164.71,162.67,,182.04,174.42,169.48,112.42,113.26
Mwingi,118.18,128.08,133.58,142.58,142.58,142.58,167.58,165.58,164.58,164.58,164.58,164.58,161.24,163.29,181.9,174.29,169.35,111.53,112.42
Kisii,117.15,127.05,132.55,141.55,141.55,141.55,166.55,164.55,163.55,163.55,163.55,163.55,171.27,,180.79,173.25,168.32,112.1,111.53
Kericho,117.21,127.11,132.61,141.61,141.61,141.61,166.61,164.61,163.61,163.61,163.61,163.61,,163.93,180.86,173.32,168.38,111.3,112.1
Mumias,116.38,126.28,131.78,140.78,140.78,140.78,165.78,163.78,162.78,162.78,162.78,162.78,163.15,,179.96,,167.55,112.75,111.3
Saboti,116.79,126.69,132.19,141.19,141.19,141.19,166.19,164.19,163.19,163.19,163.19,163.19,,165.53,180.39,172.9,167.95,112.86,112.75
