,15th  April 2023 to 14th  May 2023,MAXIMUM PUMP PRICES,,,,,"15th  April 2023 ?
14th  May 2023",MAXIMUM PUMP PRICES,,,,,"15th  April 2023 ?
14th  May 2023",MAXIMUM PUMP PRICES,,
,,"Super
Petrol (PMS)","Automotive
Diesel (AGO)",Kerosene (DPK),,,,"Super
Petrol (PMS)","Automotive
Diesel (AGO)",Kerosene (DPK),,,,"Super
Petrol (PMS)","Automotive
Diesel (AGO)",Kerosene (DPK)
19,Marereni,178.56,161.34,145.27,,94,Kapsabet,179.52,162.74,146.68,,169,Keringet,180.21,163.43,147.39
20,Nairobi,179.3,162,145.94,,95,Webuye,179.93,163.15,147.1,,170,Kisumu,179.5,162.7,146.66
21,Thika,179.31,162.01,145.94,,96,Kitale,179.86,163.08,147.03,,171,Sondu,179.59,162.8,146.77
22,Machakos,179.54,162.24,146.18,,97,Kapenguria,180.5,163.72,147.67,,172,Oyugis,180.08,163.29,147.25
23,Kajiado,179.72,162.42,146.36,,98,Bungoma,180.26,163.48,147.44,,173,Kakamega,179.54,162.75,146.72
24,Makuyu,179.59,162.29,146.23,,99,Moiben,179.52,162.74,146.68,,174,Mumias,179.82,163.03,146.99
25,Muranga,179.82,162.52,146.46,,100,Matunda,179.49,162.7,146.66,,175,Bondo,179.7,162.91,146.88
26,Sagana,180.05,162.75,146.68,,101,Burnt Forest,179.45,162.67,146.62,,176,Siaya,179.83,163.04,147
27,Embu,180.4,163.1,147.04,,102,Tambach,179.54,162.76,146.71,,177,Kericho,180,163.21,147.17
28,Kerugoya,180.33,163.03,146.97,,103,Kapsowar,180,163.22,147.18,,178,Nyamira,180.07,163.28,147.24
29,Narok,180.69,163.4,147.33,,104,Chebara,179.89,163.1,147.06,,179,Kisii,180.37,163.58,147.55
30,Nyeri,180.67,163.37,147.31,,105,Kimwarer,179.81,163.03,146.99,,,,,,
,,,,,,,,,,,,180,Sotik,180.21,163.42,147.38
31,Namanga,180.85,163.55,147.48,,106,Timboroa,179.73,162.95,146.9,,,,,,
,,,,,,,,,,,,181,Keroka,180.39,163.6,147.56
32,Kiganjo,180.64,163.34,147.28,,107,Nandi Hills,179.69,162.91,146.87,,,,,,
,,,,,,,,,,,,182,Busia,180.36,163.57,147.54
33,Chuka,180.93,163.63,147.57,,108,Kaiboi,179.55,162.77,146.73,,,,,,
,,,,,,,,,,,,183,Homabay,180.31,163.52,147.48
34,Kitui,180.84,163.54,147.47,,109,Kiminini,180.05,163.27,147.21,,,,,,
,,,,,,,,,,,,184,Migori,181.17,164.37,148.34
35,Mwingi,181.22,163.93,147.86,,110,Endebes,180.39,163.61,147.57,,,,,,
,,,,,,,,,,,,185,Isebania,181.45,164.66,148.62
36,Nanyuki,181.23,163.94,147.87,,111,Saboti,180.07,163.29,147.25,,,,,,
,,,,,,,,,,,,186,Bomet,180.61,163.82,147.78
37,Nkubu,182.21,164.91,148.84,,112,Chepareria,180.71,163.93,147.87,,,,,,
,,,,,,,,,,,,187,Muhoroni,179.72,162.93,146.9
38,Mtito Andei,181.74,164.44,148.38,,113,Lomut,182.33,165.53,149.49,,,,,,
,,,,,,,,,,,,188,Mbita,180.3,163.5,147.47
39,Meru,182.4,165.1,149.04,,114,Burgich,181.12,164.34,148.29,,,,,,
,,,,,,,,,,,,189,Mbale,179.5,162.7,146.66
40,Isiolo,182.26,164.96,148.89,,115,Sigor,181.25,164.47,148.42,,,,,,
,,,,,,,,,,,,190,Etago,180.94,164.15,148.12
41,Maua,182.85,165.56,149.49,,116,Lodwar,183.68,166.9,150.85,,,,,,
,,,,,,,,,,,,191,Magenche,181.05,164.26,148.22
42,Garissa,183.47,166.17,150.11,,117,Kakuma,185.27,168.49,152.44,,,,,,
,,,,,,,,,,,,192,Kilgoris,180.88,164.09,148.06
43,Marsabit,187.15,169.85,153.79,,118,Lokichar,182.68,165.9,149.85,,,,,,
,,,,,,,,,,,,193,Malava,179.86,163.06,147.03
44,Liboi,186.24,168.94,152.87,,119,Kalokol,184.44,167.66,151.61,,,,,,
,,,,,,,,,,,,194,Lugari,180.25,163.45,147.42
45,Moyale,188.74,171.44,155.37,,120,Lokori,183.05,166.27,150.22,,,,,,
,,,,,,,,,,,,195,Rodi Kopany,180.37,163.58,147.55
46,Sololo,187.79,170.49,154.43,,121,Lokitaung,187.33,170.55,154.49,,,,,,
,,,,,,,,,,,,196,Ndhiwa,180.65,163.86,147.82
47,Habaswein,186.16,168.86,152.8,,122,Kapedo,182.33,165.53,149.49,,,,,,
,,,,,,,,,,,,197,Rangwe,180.36,163.57,147.54
48,Dadaab,184.85,167.55,151.49,,123,Malaba,180.66,163.88,147.84,,,,,,
,,,,,,,,,,,,198,Sindo,180.37,163.58,147.55
49,Tarbaj,188.42,171.12,155.04,,124,Lokichogio,186.46,169.68,153.63,,,,,,
,,,,,,,,,,,,199,Awasi,179.45,162.66,146.63
50,Elwak,190.02,172.72,156.65,,125,Ziwa,179.69,162.91,146.87,,,,,,
,,,,,,,,,,,,200,Ahero,179.5,162.7,146.66
51,Wajir,188.57,171.27,155.21,,126,Soy,179.51,162.72,146.67,,,,,,
,,,,,,,,,,,,201,Ugunja,179.93,163.13,147.1
52,Modogashe,186.3,169,152.94,,127,Moi?s Bridge,179.57,162.78,146.74,,,,,,
,,,,,,,,,,,,202,Asembo,179.57,162.78,146.75
53,Mandera,192.35,175.05,158.98,,128,Turbo,179.45,162.67,146.62,,,,,,
,,,,,,,,,,,,203,Usenge,180.06,163.26,147.22
54,Matuu,180.2,162.9,146.84,,129,Kibish,187.56,170.77,154.73,,,,,,
,,,,,,,,,,,,204,Harambee,179.54,162.75,146.71
55,Merti,184.65,167.35,151.29,,130,Nakalale,186.39,169.6,153.55,,,,,,
,,,,,,,,,,,,205,Muhuru Bay,181.31,164.52,148.48
56,Oldonyiro,181.67,164.36,148.29,,131,Loima,182.8,166.02,149.97,,,,,,
,,,,,,,,,,,,206,Kehancha,181.54,164.75,148.71
57,Eldas,190.34,173.04,156.98,,132,Lokiriama,184.37,167.59,151.53,,,,,,
58,Bute,187.38,170.08,154.02,,133,Kainuk,181.57,164.79,148.74,,207,Ntimaru,181.85,165.06,149.02
59,Hadado,185.97,168.67,152.6,,134,Kacheliba,180.9,164.12,148.07,,208,Rongo,180.62,163.83,147.8
60,Mai Mahiu,179.42,162.12,146.06,,135,Kiwawa,181.5,164.72,148.68,,209,Kaspokwony,180.59,163.8,147.75
61,Doldo,182,164.7,148.63,,136,Ortum,181.09,164.31,148.26,,210,Chwele,180.53,163.74,147.7
62,Lamuria,181.12,163.82,147.75,,137,Kachibora,179.89,163.1,147.06,,211,Kimilili,180.46,163.67,147.62
63,Sipili,181.98,164.68,148.62,,138,Kwanza,180.6,163.82,147.78,,212,Nambale,180.36,163.57,147.54
64,Marimanti,181.61,164.31,148.25,,139,Kaplamai,179.92,163.14,147.08,,213,SioPort,180.35,163.56,147.53
65,Mutuobare,180.95,163.65,147.58,,140,Eldama Ravine,180.33,163.55,147.51,,214,Port Bunyala,180.4,163.61,147.57
66,North Horr,188.11,170.82,154.75,,141,Tenges,180.47,163.69,147.65,,215,Funyula,180.22,163.43,147.4
67,Maikona,186.73,169.43,153.37,,142,Barwessa,180.59,163.81,147.75,,216,Ogembo,180.53,163.74,147.7
68,Kalacha,187.27,169.97,153.91,,143,Kipsaraman,181.49,164.71,148.66,,217,Nyangusu,180.79,164,147.96
69,Loyangalani,187.34,170.04,153.97,,144,Loruk,181.36,164.58,148.53,,218,Sengera,180.72,163.92,147.88
70,Turbi,187.14,169.84,153.78,,145,Kabartonjo,180.33,163.55,147.51,,219,Keumbu,180.44,163.64,147.61
71,Laisamis,184.36,167.06,150.98,,146,Tindiret,180.39,163.61,147.57,,220,Marani,180.14,163.35,147.31
72,Merille,184.05,166.75,150.69,,147,O?lessos,179.57,162.78,146.74,,221,Kerina,180.5,163.71,147.68
73,Korr,185.3,168,151.93,,148,Kobujoi,179.97,163.19,147.14,,222,Ikonge,179.86,163.07,147.03
74,Nakuru,178.62,161.83,145.79,,149,Serem,180.05,163.27,147.21,,223,Nyansiongo,180.26,163.47,147.43
